,hog,optical,right,left,move
0,5.2,-221,1,0,0
1,4.7,160,1,0,0
2,5.1,315,1,0,0
3,4.9,361,1,0,0
4,4.7,429,1,0,0
5,3.8,218,1,0,0
6,5.4,528,1,0,0
7,4.0,666,1,0,0
8,2.7,986,1,0,0
9,4.0,1200,1,0,0
10,3.8,1566,1,0,0
11,3.7,1256,1,0,0
12,1.7,1669,1,0,-1
13,1.5,840,1,0,-1
14,1.1,1297,1,0,-1
15,0.4,1153,1,0,-1
16,1.0,2046,1,0,-1
17,4.2,431,1,0,0
18,4.0,648,1,0,0
19,6.2,776,1,0,0
20,4.2,1001,1,0,0
21,5.7,1265,1,0,0
22,3.6,1530,1,0,0
23,3.4,1602,1,0,0
24,3.7,1823,1,0,0
25,3.8,1619,1,0,0
26,2.1,1924,1,0,-1
27,3.2,2028,1,0,-1
28,2.3,2508,1,0,-1
29,3.6,907,1,0,-1
30,1.2,557,1,0,-1
31,1.0,-679,1,0,0
32,2.1,-1100,1,0,0
33,2.6,-685,1,0,0
34,2.7,-3,1,0,0
35,1.9,324,1,0,0
36,1.8,-20,1,0,0
37,1.8,148,1,0,0
38,2.2,330,1,0,-1
39,1.5,676,1,0,-1
40,1.7,1008,1,0,-1
41,1.4,1421,1,0,-1
42,1.2,1426,1,0,-1
43,2.8,1394,1,0,-1
44,2.2,1302,1,0,-1
45,1.6,466,1,0,-1
46,1.0,475,1,0,-1
47,0.6,644,1,0,-1
48,2.0,-848,1,0,0
49,2.1,-735,1,0,0
50,2.0,-324,1,0,0
51,1.9,-459,1,0,0
52,3.0,-183,1,0,0
53,3.3,110,1,0,0
54,3.7,459,1,0,0
55,2.5,533,1,0,0
56,2.4,832,1,0,0
57,2.0,725,1,0,0
58,1.9,788,1,0,0
59,1.8,470,1,0,0
60,2.2,585,1,0,-1
61,2.6,693,1,0,-1
62,2.4,795,1,0,-1
63,0.9,876,1,0,-1
64,1.4,620,1,0,-1
65,1.4,1409,1,0,-1
66,3.9,269,0,1,0
67,4.3,98,0,1,0
68,3.4,-223,0,1,0
69,3.1,-506,0,1,0
70,1.4,-518,0,1,0
71,3.1,-2430,0,1,0
72,3.7,-2315,0,1,0
73,4.9,-2248,0,1,0
74,3.4,-2160,0,1,0
75,3.0,-1736,0,1,0
76,3.7,-1836,0,1,0
77,1.5,-1332,0,1,1
78,2.0,-1240,0,1,1
79,1.1,-759,0,1,1
80,1.0,-732,0,1,1
81,0.5,-651,0,1,1
82,0.5,-471,0,1,1
83,0.1,76,0,1,1
84,4.7,213,0,1,0
85,4.8,164,0,1,0
86,4.6,25,0,1,0
87,3.2,-40,0,1,0
88,4.3,-241,0,1,0
89,3.2,323,0,1,0
90,3.2,485,0,1,0
91,2.5,-1516,0,1,0
92,4.3,-1989,0,1,0
93,2.3,-1759,0,1,0
94,4.1,-1391,0,1,0
95,5.6,-1354,0,1,0
96,4.5,-1125,0,1,0
97,5.2,-1332,0,1,0
98,4.9,-1185,0,1,0
99,5.7,-1571,0,1,0
100,4.6,-1133,0,1,0
101,5.0,-1457,0,1,0
102,3.2,-830,0,1,0
